Old #,New #,Name
203,200,Ash 
210,201,Aspen 
209,202,Bamboo 
212,203,Bonzai
230,204,Cedar
228,205,Cherry
229,206,Chestnut
235,207,Dogwood
237,208,Elm 
236,209,Eucalyptus
245,210,Fir 
248,211,Foxtail
254,212,Greenheart
253,213,Ginkgo
252,214,Hemlock
242,215,Hickory
240,216,Ironwood
231,217,Juniper
232,218,Koyamaki
234,219,Laurel
233,220,Magnolia
227,221,Maple
226,222,Mulberry
225,223,Supply Room
224,224,Nutmeg
217,225,Oak
206,226,Olive
207,227,Palm 
208,228,Pine
201,229,Redwood
202,230,Sycamore
